ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,LATITUDE,LONGITUDE,LOCATION,COUNT,geometry
511915.0,Empire Park,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2015-06-01,Parks,53.4871879495189,-113.500272931088,"(53.4871879495189, -113.500272931088)",1.0,POINT (-113.500272931088 53.4871879495189)
512023.0,Ermineskin,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2015-06-01,Parks,53.456721806926296,-113.50593555756599,"(53.4567218069263, -113.505935557566)",1.0,POINT (-113.505935557566 53.4567218069263)
500812.0,McCauley,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2014-06-01,Parks,53.553375924105,-113.48504123189,"(53.553375924105, -113.48504123189)",1.0,POINT (-113.48504123189 53.553375924105)
504805.0,River Valley Rundle,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,5.0,70.0,2014-06-01,Parks,53.5650927314386,-113.38487610258301,"(53.5650927314386, -113.384876102583)",1.0,POINT (-113.384876102583 53.5650927314386)
529835.0,River Valley Rundle,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,5.0,70.0,2014-06-01,Parks,53.565083020003904,-113.384762132097,"(53.5650830200039, -113.384762132097)",1.0,POINT (-113.384762132097 53.5650830200039)
504806.0,River Valley Rundle,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,5.0,70.0,2014-06-01,Parks,53.5650890701008,-113.384952797697,"(53.5650890701008, -113.384952797697)",1.0,POINT (-113.384952797697 53.5650890701008)
504804.0,River Valley Rundle,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,5.0,70.0,2014-06-01,Parks,53.5650611696485,-113.384738122256,"(53.5650611696485, -113.384738122256)",1.0,POINT (-113.384738122256 53.5650611696485)
514869.0,South Terwillegar,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2017-06-01,Parks,53.443016342342396,-113.58735934414801,"(53.4430163423424, -113.587359344148)",1.0,POINT (-113.587359344148 53.4430163423424)
500815.0,McCauley,Park,Malus x adstringens,Crabapple,Malus,x,Red Sparkle,6.0,70.0,2014-06-01,Parks,53.553400553163,-113.48515908008699,"(53.553400553163, -113.485159080087)",1.0,POINT (-113.485159080087 53.553400553163)
500814.0,McCauley,Park,Malus x adstringens,Crabapple,Malus,x,Kerr,6.0,70.0,2014-06-01,Parks,53.553399603832105,-113.48505529083401,"(53.5533996038321, -113.485055290834)",1.0,POINT (-113.485055290834 53.5533996038321)
500810.0,McCauley,Park,Malus,Apple,Malus,NaNN,Honeycrisp,6.0,70.0,2014-06-01,Parks,53.553306209653705,-113.485073302871,"(53.5533062096537, -113.485073302871)",1.0,POINT (-113.485073302871 53.55330620965371)
500832.0,McCauley,Park,Malus,Apple,Malus,NaNN,Honeycrisp,6.0,70.0,2014-06-01,Parks,53.55335236790339,-113.485055864326,"(53.5533523679034, -113.485055864326)",1.0,POINT (-113.485055864326 53.55335236790339)
500831.0,McCauley,Park,Malus,Apple,Malus,NaNN,Fall Red,6.0,70.0,2014-06-01,Parks,53.553262136471005,-113.48522489712,"(53.553262136471, -113.48522489712)",1.0,POINT (-113.48522489712 53.55326213647101)
500828.0,McCauley,Park,Malus,Apple,Malus,NaNN,Goodland,6.0,70.0,2014-06-01,Parks,53.55334946786671,-113.485199363853,"(53.5533494678667, -113.485199363853)",1.0,POINT (-113.485199363853 53.55334946786671)
500830.0,McCauley,Park,Malus,Apple,Malus,NaNN,Goodland,6.0,70.0,2014-06-01,Parks,53.55332556167149,-113.485249444546,"(53.5533255616715, -113.485249444546)",1.0,POINT (-113.485249444546 53.55332556167149)
500813.0,McCauley,Park,Malus,Apple,Malus,NaNN,Goodland,6.0,70.0,2014-06-01,Parks,53.5533781266934,-113.485085932288,"(53.5533781266934, -113.485085932288)",1.0,POINT (-113.485085932288 53.5533781266934)
523121.0,Windermere,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2014-06-01,Parks,53.44438858415461,-113.61523896843,"(53.4443885841546, -113.61523896843)",1.0,POINT (-113.61523896843 53.44438858415461)
523107.0,Windermere,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2014-06-01,Parks,53.4443567998567,-113.616619131124,"(53.4443567998567, -113.616619131124)",1.0,POINT (-113.616619131124 53.4443567998567)
523108.0,Windermere,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2014-06-01,Parks,53.4442952825584,-113.61661121948099,"(53.4442952825584, -113.616611219481)",1.0,POINT (-113.616611219481 53.4442952825584)
523122.0,Windermere,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2014-06-01,Parks,53.444389049288,-113.615121858136,"(53.444389049288, -113.615121858136)",1.0,POINT (-113.615121858136 53.444389049288)
344754.0,Balwin,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,11.0,70.0,2009-06-01,Parks,53.586844727582,-113.449104702759,"(53.586844727582, -113.449104702759)",1.0,POINT (-113.449104702759 53.586844727582)
344756.0,Balwin,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,12.0,70.0,2009-06-01,Parks,53.5865113431686,-113.44910360153601,"(53.5865113431686, -113.449103601536)",1.0,POINT (-113.449103601536 53.5865113431686)
344753.0,Balwin,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,12.0,70.0,2009-06-01,Parks,53.5872989444196,-113.449099550868,"(53.5872989444196, -113.449099550868)",1.0,POINT (-113.449099550868 53.5872989444196)
344755.0,Balwin,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,10.0,70.0,2009-06-01,Parks,53.58661099574,-113.449103211723,"(53.58661099574, -113.449103211723)",1.0,POINT (-113.449103211723 53.58661099574)
528013.0,Downtown,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2016-06-01,Parks,53.544600261750205,-113.510141264063,"(53.5446002617502, -113.510141264063)",1.0,POINT (-113.510141264063 53.5446002617502)
